variable_id,domain,concepts,question_text,value_labels
allweight,Unknown,,"individual country weight 

Variable: couweight 
  Question: cross-country weight 

Variable: q129a 
  Question: strong leader",0=0 rejection; 1=1 acceptance/others
country,Unknown,,Country Code,-1=Missing; 1=Japan; 2=Hong Kong; 3=Korea; 4=Mainland China; 5=Mongolia; 6=Philippines; 7=Taiwan; 8=Thailand; 9=Indonesia; 10=Singapore; 11=Vietnam; 12=Cambodia; 13=Malaysia
idnumber,Unknown,,case number,-1=Missing
ir1,Economic Perception,"household income, needs satisfaction, economic evaluation",Does the total income of your household allow you to satisfactorily cover your needs? Interviewer's number,-1=Missing
ir10a,Survey Methodology,"interview process, interpreter assistance, data quality",IR10a. Was the interview conducted with the assistance of an interpreter?,-1=Missing; 1=Yes; 2=No
ir11a,Infrastructure Accessibility,"road condition, transportation, residence accessibility",IR11a. What is the condition of the road leading to interviewee's residence?,"-1=Missing; 1=Wide enough for car and paved with asphalt, cement or man-made materials; 2=Not wide enough for car, but paved with asphalt, cement or man-made materials; 3=Paved with stone; 4=Unpaved/dirt road; 5=Muddy; 6=Others; 9=Decline to answer"
ir11b,Service Accessibility,"drinking water, household amenities, basic services",IR11b. Please identify the main source of drinking water in the household?,"-1=Missing; 1=Tap water inside the house; 2=Shared tap water in the public place; 3=Handbump for groundwater; 4=Shared handbump for groundwater; 5=From river, pound or lake; 6=other; 9=Decline to answer"
ir11c,Service Accessibility,"electricity, lighting, household infrastructure",IR11c. Is electricity the main source of lighting in the house?,-1=Missing; 1=Yes; 2=No; 9=Decline to answer
ir11d,Transportation Accessibility,"public transportation, walking distance, residence location","IR11d. In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc) and the respondent's house?",-1=Missing; 1=Less than 10 minutes by walking; 2=Less than 20 minutes; 3=Less than 40 minutes; 4=Less than an hour; 5=Less than two hours; 6=Less than three hours; 7=Less than four hours; 8=More than fours hours; 9=Decline to answer
ir12,Service Accessibility,"neighborhood services, proximity, community amenities","IR12. Were the following services present within the neighborhood (i.e., within walking or easy driving distance).Estimate the distance of these services by:",-1=Missing; 1=Walking; 2=Easy driving; 9=Can't determine; 90=Not applicable
ir12a,Service Accessibility,"postal service, infrastructure, accessibility",IR12a. Post-office,-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir12b,Service Accessibility,"education, infrastructure, accessibility",IR12b. School,-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir12c,Public Safety,"law enforcement, infrastructure, accessibility",IR12c. Police station,-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir12d,Service Accessibility,"sanitation, infrastructure, accessibility",IR12d. Sewerage system that most houses could access,-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir12e,Healthcare Accessibility,"healthcare, infrastructure, accessibility",IR12e. Health clinic,-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir12f,Telecommunication Accessibility,"telecommunication, infrastructure, accessibility",IR12f. Signal for cellular phone,-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir12g,Recreational Facilities,"leisure, infrastructure, accessibility","IR12g. Recreational facilities, e.g., a sports field",-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir12h,Religious Facilities,"religion, infrastructure, accessibility","IR12h. Any churches, mosques, temples or other public places of worship",-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir12i,Community Facilities,"community, infrastructure, accessibility",IR12i. Any town halls or community buildings that can be used for meetings,-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir12k,Market Accessibility,"commerce, infrastructure, accessibility",IR12k. Market stalls (selling groceries and/or clothing),-1=Missing; 0=No; 1=Yes; 9=Can't determine
ir13,Geographic Location,"residence, country level, geographic location",IR13. Which of the following levels within the country the respondent live?,"-1=Missing; 1=Capital or Megacity (1 million population plus); 2=Regional center or Other major cities (100,000 plus); 3=Small city or town (less than 100,000 people); 4=Village or countryside; 9=Can't determine"
ir2,Survey Participation,"survey experience, questionnaire completion, first time",IR2. Is this the first questionnaire you have completed?,-1=Missing; 1=Yes; 2=No; 90=Not applicable
ir2a,Interviewer Characteristics,"interviewer gender, demographic information",IR2a. Interviewer's gender,-1=Missing; 1=Male; 2=Female
ir2b,Interviewer Characteristics,"interviewer age, demographic information",IR2b. Interviewer's Age,-1=Missing; 90=Not applicable/Not the first interview; 99=Decline to answer
