variable_id,domain,concepts,question_text,validation_phrase,validation_phrase_occurrences,validation_phrase_score
COUNTRY,Unknown,,Country code,country code,1,92.4
IDnumber,Unknown,,"case number 

Variable: Region 
  Question: Region",case number variable: region question:,1,132.0
IR10,Unknown,,ir10 Language in which interview was conducted,ir10 language in which interview,1,132.0
IR10a,Unknown,,ir10a Was the interview conducted with the assistance of an interpreter?,ir10a was the interview conducted,1,132.0
IR11E,Unknown,,"ir11e In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc.) and the respondent's house?",ir11e in terms of walking,1,132.0
IR11a,Unknown,,ir11a What is the condition of the road leading to interviewee's residence?,ir11a what is the condition,1,132.0
IR11b,Unknown,,ir11b  Please identify the main source of drinking water in the household?,ir11b please identify the main,1,132.0
IR11c,Unknown,,ir11c Is electricity the main source of lighting in the house?,ir11c is electricity the main,1,132.0
IR11d,Unknown,,ir11d Is this neighborhood coverd by mobile phone network(signals)?,ir11d is this neighborhood coverd,1,132.0
IR12,Unknown,,"ir12 Were the following services present within the neighborhood,estimate the distance of services by",ir12 were the following services,1,132.0
IR12A,Unknown,,ir12a. Post-office,ir12a. post-office,1,92.4
IR12B,Unknown,,ir12b. School,ir12b. school,1,92.4
IR12C,Unknown,,ir12c. Police station,ir12c. police station,1,132.0
IR12D,Unknown,,ir12d. Sewerage system that most houses could access,ir12d. sewerage system that most,1,132.0
IR12E,Unknown,,ir12e. Health clinic,ir12e. health clinic,1,132.0
IR12F,Unknown,,ir12f. Signal for cellular phone,ir12f. signal for cellular phone,1,132.0
IR12G,Unknown,,"ir12g. Recreational facilities, e.g., a sports field","recreational facilities, e.g., a sports",1,132.0
IR12H,Unknown,,"ir12h. Any churches, mosques, temples or other public places of worship","ir12h. any churches, mosques, temples",1,132.0
IR12I,Unknown,,ir12i. Any town halls or community buildings that can be used for meetings,ir12i. any town halls or,1,132.0
IR12K,Unknown,,ir12K. Market stalls (selling groceries and/or clothing),ir12k. market stalls (selling groceries,1,132.0
IR13,Unknown,,ir13 Which of the following levels within the country the respondent live?,ir13 which of the following,1,132.0
IR2c,Unknown,,ir2c What kind of language do you normally use at home?,ir2c what kind of language,1,132.0
